epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.257,0.59834,1.68351,0.85636,0.88711,0.82068,0.92904,0.83977,0.45495,0.65871,0.81421,0.000333067,0.000333067,0.000333067
2,672.169,0.50698,0.68543,0.84102,0.94665,0.87663,0.96664,0.8841,0.42755,0.44947,0.81631,0.000600426,0.000600426,0.000600426
3,974.687,0.47647,0.53147,0.8357,0.96343,0.90277,0.97655,0.90456,0.39605,0.39332,0.81165,0.000801786,0.000801786,0.000801786
4,1272.34,0.44647,0.46549,0.82672,0.97199,0.9199,0.98274,0.92777,0.34975,0.32748,0.80079,0.000703,0.000703,0.000703
5,1575.04,0.41273,0.41568,0.819,0.97035,0.92263,0.98421,0.93931,0.32313,0.30612,0.79431,0.000604,0.000604,0.000604
6,1873.19,0.38884,0.38019,0.81403,0.97676,0.92632,0.98544,0.94659,0.31276,0.28774,0.7916,0.000505,0.000505,0.000505
7,2171.35,0.36509,0.35512,0.8082,0.97875,0.93114,0.98686,0.95302,0.29203,0.26731,0.78909,0.000406,0.000406,0.000406
8,2469.69,0.34703,0.33445,0.80365,0.98158,0.94029,0.98882,0.95947,0.2769,0.24845,0.78434,0.000307,0.000307,0.000307
9,2768.11,0.32677,0.30736,0.79836,0.98359,0.93704,0.98878,0.96304,0.26401,0.23891,0.78183,0.000208,0.000208,0.000208
10,3068.2,0.30919,0.29189,0.79456,0.98542,0.94077,0.98966,0.96687,0.25049,0.22482,0.7779,0.000109,0.000109,0.000109
