epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,361.681,0.57561,1.60641,0.84711,0.89788,0.81352,0.93181,0.8389,0.46151,0.63717,0.81471,0.000333067,0.000333067,0.000333067
2,666.625,0.48562,0.63209,0.83286,0.95074,0.88919,0.97068,0.89139,0.41132,0.43636,0.81129,0.000600426,0.000600426,0.000600426
3,965.751,0.45304,0.48956,0.82972,0.96284,0.89249,0.97473,0.90835,0.37841,0.37981,0.80933,0.000801786,0.000801786,0.000801786
4,1261.89,0.4251,0.42435,0.82302,0.97302,0.90824,0.98064,0.91878,0.36635,0.34482,0.80741,0.000703,0.000703,0.000703
5,1561.77,0.39365,0.38095,0.81445,0.97776,0.91863,0.98423,0.93883,0.32845,0.30314,0.79832,0.000604,0.000604,0.000604
6,1863.33,0.37057,0.34711,0.80941,0.97936,0.92539,0.98617,0.94454,0.31319,0.28146,0.79502,0.000505,0.000505,0.000505
7,2169.8,0.3476,0.32394,0.80363,0.97915,0.9318,0.98668,0.95019,0.30131,0.26721,0.79218,0.000406,0.000406,0.000406
8,2482.08,0.32819,0.3009,0.79867,0.98141,0.93942,0.98859,0.95812,0.2876,0.24888,0.78853,0.000307,0.000307,0.000307
9,2783.52,0.30969,0.28067,0.79329,0.97954,0.94199,0.98907,0.9631,0.27383,0.23592,0.78558,0.000208,0.000208,0.000208
10,3083.68,0.29269,0.26297,0.79119,0.98274,0.94394,0.98991,0.96673,0.25786,0.22261,0.7821,0.000109,0.000109,0.000109
